"HolderAddress","Balance","PendingBalanceUpdate"
"0x00fae4138499186b29b2aa386d78c6c85b967d7e","55564.4778587576","No"
"0x00fbbddcbcc49f70609d9c2fb122f950e5aca2b0","350","No"
"0x00fff7e689a4ed9668c9207f55c8d68bab1cb507","200","No"
"0x0101c7bcbe45fb12928244bb99b7d8a042554e09","0.0573971008226257","No"
"0x010bc39979947c7e193e5619c9ac61dbd1dc7ce0","200","No"
"0x010d0fc33b52051313adf9f799a5140f1ba99a3d","100","No"
"0x010de1e618bb77bccc8465e72e7a6f727b087def","100","No"
"0x011054803c1e9d7cb0da87fc224c427cd14bcc0f","100","No"
"0x011093322a9cbdc707b371996f8b4100bfa8793c","52.7444595729973","No"
"0x01113829d6441e86071c939484f55fd8a0398ed6","200","No"
"0x0111424799389c2ad0dba1e52b135cccae8b99e3","100","No"
"0x011155a5552ceba357771548853f3a1f581e050c","100","No"
"0x01133c1dac996d03bb7e1c2fc98fb3ea6717df7a","100","No"
"0x01170f0234c718b2c65bebeeb1b989a0e117bed5","100","No"
"0x0117b6f415be6cefc95a343b24cbb69bffc03441","200","No"
"0x0117bde3403d3ab602916252319632303162380a","111","No"
"0x011857195a9e9fcb62eeb8f2a6efe630e093dfe8","1500","No"
"0x011e52b54c8ebcce61d824aad627fac61e4c8ba3","0.0125178704148729","No"
"0x011effcad13e29d74945113ca86116195006ec3e","96.02292011","No"
"0x011ff5ba918c189aea1a53dca0095bf649971a8f","100","No"
"0x0121e62e3e7dce88d796564fe859fbfd8f3cc39c","0.00489310044105","No"
"0x01223843daba104d5cfc48006a8f22e777148971","1446.04707478137","No"
"0x012254e689f9e03a1561a1358e9c1cf4a11eca13","100","No"
"0x01228d70a0980d85a103d9a753707104757f69bc","200","No"
"0x0122927a41e46791c05550308bf597979af9182d","82.0098491048229","No"
"0x0124ad6a9bc17a700c4ccd88ef06bc8a54125fa2","100","No"
"0x0125c7b349a7a285c2f79d568e39ad8ff4e7a466","100","No"
"0x012b223ca05b535bf72d0cefebd4a70958b48741","100","No"
"0x012d01940d2ca5135f2205f5a16d40ad35cb07be","200","No"
"0x012d904396b5513d1c18664c76b7a5a3141b0720","100","No"
"0x012f3976c93260f7e4ce1289638278a870b6678d","200","No"
"0x0131da8a4a8adca43354e1df68c0ac201e053deb","100","No"
"0x0132f98b86e475f11d8510e98821e342a53d7d8e","290.46902383","No"
"0x0137ee1bf79397978c8ad2991ee8f4767c9ad14d","900","No"
"0x0139705ce3f5db53cd9773bc8100be80751d9244","100","No"
"0x0143b60a3febcaa951c18a06f29207d82d9aeb84","100","No"
"0x0145d9525ae99bc00213586b235dec6e6db3b517","100","No"
"0x0147e5c7dbcad4219e0c4dc7e7d9f78a39cfb334","100","No"
"0x0147e6985e7a4ea396e096256c98221e6b93b27a","350","No"
"0x0149cf113b095df0b5a90ef8773e73b915815b69","145.54318388","No"
"0x0149dfa5df3c330c88c08b0368e8c8ebe54d3782","100","No"
"0x014acea29fbf24afcc3663c7fe31f19321c4ead9","100","No"
"0x014c06cb4a2affe7a43d8ffdddf86bedabb82b7d","100","No"
"0x014e4bdcc286033017b0e5cb6330cc92ba856253","200","No"
"0x014ebc5f521f8086b5304b46dcb64c22b702efee","100","No"
"0x014ede16df8af46d387a16e1bd9e1a54a3ae106e","1.5719466656317","No"
"0x01502c31727b65a8d272e60465e22a2351e1f41d","100","No"
"0x015039196efaac531af7381507864b2f2b27a209","8.19486832469E-07","No"
"0x01520c7f826c7867cc73f3955f2f9d46d7231b82","250","No"
"0x01532875767edf52613d735ad3093c2bfb69f618","100","No"
"0x0153f7ed5d362c079b764977969f76b10a0cb908","300.680348465906","No"
"0x0154d25120ed20a516fe43991702e7463c5a6f6e","560","No"
"0x015b60273c15e77a47fb35dd8b0eb7188489ab39","950","No"
"0x015befb758090caf23caf09dcdc107426bb1f07b","200","No"
"0x015c30b763b397942954c9b5d6866e49eb7f01c3","100","No"
"0x015c535a08fa7744fee5637fd5ea0c1ea52df0ef","80.1810061953184","No"
"0x015cd6e00cab9dc8b0081900dbc1f2c97e9a2984","2154.03283449241","No"
"0x015daf77e159461b2f342d40b7a676b0e05d116a","391.725427621972","No"
"0x015dcf4a018de2712201f30707a9d69bcefe2002","200","No"
"0x016125553677d4326e38b837762555f8bf1783d7","252.542187681046","No"
"0x0161d1cc10116bb2a073a0c293d5e4f1a97a00b6","200","No"
"0x0162265537b436ef56a9d946ff9001406240d99f","100.81710641","No"
"0x016279b40fa9c18ef74a69a78a3344547a95f88d","100","No"
"0x01631d39495f35e790f426dcba33d1a17360f7b4","21.91533497","No"
"0x0163c801b4f2f48608015063138718b6e9be9d17","0.362094178362142","No"
"0x016492975172d9eae8dc0b6b46da45cc46de11d4","10002.8391014326","No"
"0x01659cdf79d8d2ac587da9860659ab363920d726","200","No"
"0x01660ecc7018e4f15445e67de48aa46603c33c24","100","No"
"0x01684684730daf6ab624fbc32a93a5d6ff2d6e56","0.803501580000012","No"
"0x016916c74294e93ced3795b18ef631f9c1464ecc","100","No"
"0x016b525c603d96fea42f53a8444a1f58ca485ba2","100.07888818","No"
"0x0170451805c01d696ab200bfd1a062b804ec52be","121.15040165","No"
"0x0171738ea3f25f9dbd299b920af38f4003b22b7c","100","No"
"0x0173ba4c03d65194eb27b6f4fa5ebefbfb2331fe","800","No"
"0x0174cd82e8b820cfac5050ab5930586a2d5ed708","102.016368","No"
"0x0178520cb8e26c7f2c482c27435377823dc8363a","200","No"
"0x0179974f1f41a7860c0e212423877ac68b964508","100.01971892","No"
"0x017a4747735568da02aef2cfac5fbbeb7caf42fc","13.0531408486698","No"
"0x017a5c8e7125dd3dcba503038d19546be1485fc2","200","No"
"0x017bdce761ca1a8c3dc8fbeced62f1bcb2510f19","46.7028673630629","No"
"0x017dfcdc7c82ff7e11ec8b62e2456439e2e56bc2","250","No"
"0x017e8dff41b1ac58275216cab54fea39bb593f87","1854.44892882","No"
"0x017ec7a376779e30209b547c00c422d1af6cbf0c","100","No"
"0x0180a13856a6a24a0fbdb65aad80693a2803423b","1087.09998979006","No"
"0x0181640495e50adaa9b29d292fdae164d0f4888f","100","No"
"0x0182690c80f357aaea99ecca8b23e53b0725ccb9","4248.23815688773","No"
"0x018335db5f7e71a68fca460b89262a3c52d19280","200","No"
"0x01849b178223439a17f2231b62c2a5d9c926e17b","100","No"
"0x01858e18fd1020d94e3109ae509e0cf90a439fac","100","No"
"0x01860c05c636ca11a41a7fcc6dfd75901f2f5843","100","No"
"0x01862cd10ff9a2d32aa3a4f46b38a67ba536a386","1151.18697716122","No"
"0x0186b6a634776a99b8c97dd62e78be282ce05121","4.54360768431813","No"
"0x0186c7078ecdfc4d05980f7af190904b36484819","200","No"
"0x018a05947e515615336d70e562bebde66e04d0fa","4.2120099008E-08","No"
"0x018a220daf8a455c770606dc6ebda002f723ef6f","1100","No"
"0x018b50cb49d1da508d3c14d3cfa1400bf12db86c","200","No"
"0x018d5c4783f5317815f6e8168942a12adde3cd3c","4E-18","No"
"0x018d88b7cee0b46bcb6b2c7703d6525c4d3eec7e","1.29779E-13","No"
"0x018fc8edd2412993ba406b31817fceb7ab692b78","100","No"
"0x019a888f000500525f87c08b4bc538f898dc1881","100","No"
"0x019ed68288689dd6fe86469d1076a3473cf5569b","450","No"
"0x019fc2210b0a2bd055074e6932933d4c3473fe98","100","No"
"0x019ffef8c22df637d42aa572389bef4e105abe75","1000.3054044931","No"
"0x01a105edbebb9bb4ac72ffb064a372d0423c8291","100","No"
"0x01a24c6a87ee7a19d54c98ffae76755f24fdf637","200","No"
"0x01a26fb292f830790649996353a1c5ab637e4e22","6.2154E-14","No"
"0x01a2fe0290f81f45051041dc44fd83afb34e43e2","1150","No"
"0x01a4391500efaa6edd152711f1bb163c5d77f98c","200","No"
"0x01a7401aa7c17ca0833692f3efb24ebf6af91607","10","No"
"0x01a7d378f906b4aa3a16e47401e7fab0e3a0b207","100","No"
"0x01a7f81a7b50f11b2eff30dcb665b69b42811bdf","102.92584787","No"
